name,family,num_qubits,method,swap_count,swap_count_source,routing_score,terminal_objective,routing_time_sec,runtime,evaluating_router,original_num_qubits,original_gate_count_all,original_1q_count_all,original_2q_count_all,original_cnot_count_all,original_depth,routed_gate_count_all,routed_1q_count_all,routed_2q_count_all,routed_swap_count,routed_cnot_raw_count,routed_cnot_equiv_count,routed_depth,additional_gates_total,additional_1q_total,additional_2q_total,additional_swap_count,additional_cnot_equiv_from_swap,depth_overhead
hea_28_0043,hea,28,qiskit_sabre_full,33.0,exact_swap_ops,33.0,33.0,0.007487500086426735,0.007487500086426735,qiskit_sabre_full,28.0,948.0,840.0,108.0,108.0,63.0,981.0,840.0,141.0,33.0,108.0,207.0,117.0,33.0,0.0,33.0,33.0,99.0,54.0
rd32-v1_69,rd32-v1,4,qiskit_sabre_full,2.0,exact_swap_ops,2.0,2.0,0.00798300001770258,0.00798300001770258,qiskit_sabre_full,4.0,41.0,27.0,14.0,14.0,29.0,43.0,27.0,16.0,2.0,14.0,20.0,37.0,2.0,0.0,2.0,2.0,6.0,8.0
random_36_0012,random,36,qiskit_sabre_full,773.0,exact_swap_ops,773.0,773.0,0.02263180003501475,0.02263180003501475,qiskit_sabre_full,36.0,4555.0,4013.0,542.0,542.0,251.0,5328.0,4013.0,1315.0,773.0,542.0,2861.0,987.0,773.0,0.0,773.0,773.0,2319.0,736.0
rd32_272,rd32,5,qiskit_sabre_full,5.0,exact_swap_ops,5.0,5.0,0.005643900018185377,0.005643900018185377,qiskit_sabre_full,5.0,60.0,39.0,21.0,21.0,43.0,65.0,39.0,26.0,5.0,21.0,36.0,57.0,5.0,0.0,5.0,5.0,15.0,14.0
random_16_0320,random,16,qiskit_sabre_full,57.0,exact_swap_ops,57.0,57.0,0.007654600078240037,0.007654600078240037,qiskit_sabre_full,16.0,844.0,758.0,86.0,86.0,99.0,901.0,758.0,143.0,57.0,86.0,257.0,197.0,57.0,0.0,57.0,57.0,171.0,98.0
alu-v1_29,alu-v1,5,qiskit_sabre_full,2.0,exact_swap_ops,2.0,2.0,0.009210099931806326,0.009210099931806326,qiskit_sabre_full,5.0,43.0,28.0,15.0,15.0,31.0,45.0,28.0,17.0,2.0,15.0,21.0,36.0,2.0,0.0,2.0,2.0,6.0,5.0
random_28_0397,random,28,qiskit_sabre_full,797.0,exact_swap_ops,797.0,797.0,0.02067190012894571,0.02067190012894571,qiskit_sabre_full,28.0,3598.0,2929.0,669.0,669.0,297.0,4395.0,2929.0,1466.0,797.0,669.0,3060.0,868.0,797.0,0.0,797.0,797.0,2391.0,571.0
ex3_229,ex3,6,qiskit_sabre_full,37.0,exact_swap_ops,37.0,37.0,0.006900999927893281,0.006900999927893281,qiskit_sabre_full,6.0,371.0,279.0,92.0,92.0,282.0,408.0,279.0,129.0,37.0,92.0,203.0,328.0,37.0,0.0,37.0,37.0,111.0,46.0
hea_28_0288,hea,28,qiskit_sabre_full,33.0,exact_swap_ops,33.0,33.0,0.008054400095716119,0.008054400095716119,qiskit_sabre_full,28.0,948.0,840.0,108.0,108.0,63.0,981.0,840.0,141.0,33.0,108.0,207.0,117.0,33.0,0.0,33.0,33.0,99.0,54.0
routing_stress_16_0090,routing_stress,16,qiskit_sabre_full,23.0,exact_swap_ops,23.0,23.0,0.005958500085398555,0.005958500085398555,qiskit_sabre_full,16.0,124.0,90.0,34.0,34.0,38.0,147.0,90.0,57.0,23.0,34.0,103.0,48.0,23.0,0.0,23.0,23.0,69.0,10.0
0410184_169,0410184,14,qiskit_sabre_full,38.0,exact_swap_ops,38.0,38.0,0.007040699943900108,0.007040699943900108,qiskit_sabre_full,14.0,244.0,151.0,93.0,93.0,129.0,282.0,151.0,131.0,38.0,93.0,207.0,175.0,38.0,0.0,38.0,38.0,114.0,46.0
